ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.362000972,1,1,a,dicamba,1,1
0.256896763,1,1,b,dicamba,1,1
0.307682585,1,1,c,dicamba,1,1
0.227635792,2,1,a,dicamba,1,1
0.186805507,2,1,b,dicamba,1,1
0.394795828,2,1,c,dicamba,1,1
0.286932567,3,1,a,dicamba,1,1
0.131268898,3,1,b,dicamba,1,1
0.169182256,3,1,c,dicamba,1,1
0.289578686,4,1,a,dicamba,1,1
0.171729486,4,1,b,dicamba,1,1
0.272709038,4,1,c,dicamba,1,1
0.189260293,1,2,a,dicamba,1,1
0.145818091,1,2,b,dicamba,1,1
0.180918368,1,2,c,dicamba,1,1
0.231874374,2,2,a,dicamba,1,1
0.227005614,2,2,b,dicamba,1,1
0.122909046,2,2,c,dicamba,1,1
0.212565719,3,2,a,dicamba,1,1
0.267178046,3,2,b,dicamba,1,1
0.30163187,3,2,c,dicamba,1,1
0.210297971,4,2,a,dicamba,1,1
0.185867098,4,2,b,dicamba,1,1
0.157385506,4,2,c,dicamba,1,1
0.171839858,1,3,a,dicamba,1,1
0.313739909,1,3,b,dicamba,1,1
0.13794599,1,3,c,dicamba,1,1
0.236336509,2,3,a,dicamba,1,1
0.250203891,2,3,b,dicamba,1,1
0.193110755,2,3,c,dicamba,1,1
0.173109384,3,3,a,dicamba,1,1
0.243820408,3,3,b,dicamba,1,1
0.218753986,3,3,c,dicamba,1,1
0.237762092,4,3,a,dicamba,1,1
0.144819373,4,3,b,dicamba,1,1
0.181669823,4,3,c,dicamba,1,1
0.3843975,1,1,a,s-metolachlor,1,1
0.340259167,1,1,b,s-metolachlor,1,1
0.376151667,1,1,c,s-metolachlor,1,1
0.465419167,2,1,a,s-metolachlor,1,1
0.435306667,2,1,b,s-metolachlor,1,1
0.312788333,2,1,c,s-metolachlor,1,1
0.540266667,3,1,a,s-metolachlor,1,1
0.3408425,3,1,b,s-metolachlor,1,1
0.573303333,3,1,c,s-metolachlor,1,1
0.621745,4,1,a,s-metolachlor,1,1
0.414194167,4,1,b,s-metolachlor,1,1
0.414601667,4,1,c,s-metolachlor,1,1
0.390260833,1,2,a,s-metolachlor,1,1
0.384664167,1,2,b,s-metolachlor,1,1
0.355303333,1,2,c,s-metolachlor,1,1
0.3935,2,2,a,s-metolachlor,1,1
0.55498,2,2,b,s-metolachlor,1,1
0.5625425,2,2,c,s-metolachlor,1,1
0.563539167,3,2,a,s-metolachlor,1,1
0.642541667,3,2,b,s-metolachlor,1,1
0.671850833,3,2,c,s-metolachlor,1,1
0.3525,4,2,a,s-metolachlor,1,1
0.455864167,4,2,b,s-metolachlor,1,1
0.511109167,4,2,c,s-metolachlor,1,1
0.4220075,1,3,a,s-metolachlor,1,1
0.8357575,1,3,b,s-metolachlor,1,1
0.295135,1,3,c,s-metolachlor,1,1
0.46243,2,3,a,s-metolachlor,1,1
0.510030833,2,3,b,s-metolachlor,1,1
0.521831667,2,3,c,s-metolachlor,1,1
0.530454167,3,3,a,s-metolachlor,1,1
0.511164167,3,3,b,s-metolachlor,1,1
0.53017,3,3,c,s-metolachlor,1,1
0.460740833,4,3,a,s-metolachlor,1,1
0.4236,4,3,b,s-metolachlor,1,1
0.567328333,4,3,c,s-metolachlor,1,1
0.2125,1,1,a,dicamba,1,2
0.305,1,1,a,dicamba,2,2
0.0475,1,1,b,dicamba,1,2
0.0975,1,1,b,dicamba,2,2
0.4025,1,1,c,dicamba,1,2
0.03,1,1,c,dicamba,2,2
0.3225,2,1,a,dicamba,1,2
0.4725,2,1,a,dicamba,2,2
0.2325,2,1,b,dicamba,1,2
0.195,2,1,b,dicamba,2,2
0.38,2,1,c,dicamba,1,2
0.185,2,1,c,dicamba,2,2
0.5125,3,1,a,dicamba,1,2
0.105,3,1,a,dicamba,2,2
0.1775,3,1,b,dicamba,1,2
0.0325,3,1,b,dicamba,2,2
0.1825,3,1,c,dicamba,1,2
0.195,3,1,c,dicamba,2,2
0.0675,4,1,a,dicamba,1,2
0.3525,4,1,a,dicamba,2,2
0.115,4,1,b,dicamba,1,2
0.17,4,1,b,dicamba,2,2
0.11,4,1,c,dicamba,1,2
0.2475,4,1,c,dicamba,2,2
0.0075,1,2,a,dicamba,1,2
0.005,1,2,a,dicamba,2,2
0.265,1,2,b,dicamba,1,2
0.28,1,2,b,dicamba,2,2
0.0975,1,2,c,dicamba,1,2
0.125,1,2,c,dicamba,2,2
0.36,2,2,a,dicamba,1,2
0.4275,2,2,a,dicamba,2,2
0.1925,2,2,b,dicamba,1,2
0.54,2,2,b,dicamba,2,2
0.1975,2,2,c,dicamba,1,2
0.22,2,2,c,dicamba,2,2
0.1325,3,2,a,dicamba,1,2
0.2875,3,2,a,dicamba,2,2
0.5375,3,2,b,dicamba,1,2
0.24,3,2,b,dicamba,2,2
0.4125,3,2,c,dicamba,1,2
0.16,3,2,c,dicamba,2,2
0.1925,4,2,a,dicamba,1,2
0.8575,4,2,a,dicamba,2,2
0.0825,4,2,b,dicamba,1,2
0.285,4,2,b,dicamba,2,2
0.0275,4,2,c,dicamba,1,2
0.2325,4,2,c,dicamba,2,2
0.03,1,3,a,dicamba,1,2
0.56,1,3,a,dicamba,2,2
0.185,1,3,b,dicamba,1,2
0.865,1,3,b,dicamba,2,2
